CNPJ,COMPANY_NAME,FANTASY_NAME,ADDRESS,NUMBER,COMPLEMENT,NEIGHBORHOOD,ZIP_CODE,MUNICIPALITY,STATE,FLAG,PRODUCT, UNIT_OF_MEASUREMENT,RETAIL_PRICE,DATE_OF_COLLECTION
7156498000125,POSTO PRUDEN-CENTER LTDA,,AVENIDA BRASILIA,1855,,JARDIM SHANGRI-LA,86070020,LONDRINA,PARANA,BRANCA,GASOLINA COMUM,R$ / litro,5.09,2023-02-07
7150517000106,D.H. PETROLEO LTDA,POSTO BELLAVIA,AVENIDA HIGIENOPOLIS,1700,,JARDIM IPANEMA,86015010,LONDRINA,PARANA,BRANCA,ETANOL,R$ / litro,3.64,2023-02-06
7150517000106,D.H. PETROLEO LTDA,POSTO BELLAVIA,AVENIDA HIGIENOPOLIS,1700,,JARDIM IPANEMA,86015010,LONDRINA,PARANA,BRANCA,DIESEL S500,R$ / litro,5.96,2023-02-06
7150517000106,D.H. PETROLEO LTDA,POSTO BELLAVIA,AVENIDA HIGIENOPOLIS,1700,,JARDIM IPANEMA,86015010,LONDRINA,PARANA,BRANCA,GASOLINA ADITIVADA,R$ / litro,4.9,2023-02-06
7150517000106,D.H. PETROLEO LTDA,POSTO BELLAVIA,AVENIDA HIGIENOPOLIS,1700,,JARDIM IPANEMA,86015010,LONDRINA,PARANA,BRANCA,GASOLINA COMUM,R$ / litro,4.88,2023-02-06
6140051000103,AUTO POSTO VIA LAGO LTDA.,,RUA SENADOR SOUZA NAVES,1644,,CENTRO,86015430,LONDRINA,PARANA,RAIZEN,ETANOL,R$ / litro,3.89,2023-02-06
6140051000103,AUTO POSTO VIA LAGO LTDA.,,RUA SENADOR SOUZA NAVES,1644,,CENTRO,86015430,LONDRINA,PARANA,RAIZEN,GASOLINA ADITIVADA,R$ / litro,5.39,2023-02-06
6140051000103,AUTO POSTO VIA LAGO LTDA.,,RUA SENADOR SOUZA NAVES,1644,,CENTRO,86015430,LONDRINA,PARANA,RAIZEN,GASOLINA COMUM,R$ / litro,4.99,2023-02-06
6243491000188,STAR SHOPPING AUTO POSTO EIRELI,,RUA GUAPORE,1588,,JARDIM PALMARES,86025000,LONDRINA,PARANA,IPIRANGA,ETANOL,R$ / litro,3.79,2023-02-07
6243491000188,STAR SHOPPING AUTO POSTO EIRELI,,RUA GUAPORE,1588,,JARDIM PALMARES,86025000,LONDRINA,PARANA,IPIRANGA,DIESEL S10,R$ / litro,6.39,2023-02-07
6243491000188,STAR SHOPPING AUTO POSTO EIRELI,,RUA GUAPORE,1588,,JARDIM PALMARES,86025000,LONDRINA,PARANA,IPIRANGA,DIESEL S500,R$ / litro,6.19,2023-02-07
6243491000188,STAR SHOPPING AUTO POSTO EIRELI,,RUA GUAPORE,1588,,JARDIM PALMARES,86025000,LONDRINA,PARANA,IPIRANGA,GASOLINA ADITIVADA,R$ / litro,5.29,2023-02-07
